Date,Time,PU_Adress,Base_No
07-01-2014,00:00,260 W 44 St NYC,B00256
07-01-2014,00:00,125 W 29 St Nyc,B00256
07-01-2014,00:00,141 W 28 St Nyc,B00256
07-01-2014,00:01,EWR,B00256
07-01-2014,00:07,JFK,B00256
07-01-2014,00:07,EWR,B00256
07-01-2014,00:11,JFK,B00256
07-01-2014,00:12,EWR,B00256
07-01-2014,00:15,EWR,B00256
07-01-2014,00:15,206 W 109 St Nyc,B00256
07-01-2014,00:18,LGA,B00256
07-01-2014,00:25,556 Hudson St Nyc,B00256
07-01-2014,00:25,848 WASHINGTON ST NYC,B00256
07-01-2014,00:29,EWR,B00256
07-01-2014,00:30,"12 Crown St Flatbush, BK",B00256
07-01-2014,00:31,JFK,B00256
07-01-2014,00:33,EWR,B00256
07-01-2014,00:44,JFK,B00256
07-01-2014,00:45,JFK,B00256
07-01-2014,00:45,EWR,B00256
07-01-2014,00:50,156 W 56 St Nyc,B01868
07-01-2014,00:57,JFK,B00256
07-01-2014,00:59,JFK,B00256
07-01-2014,01:00,315 W 39 St Nyc,B00256
07-01-2014,01:00,795 8 Ave NYC,B00256
07-01-2014,01:00,EWR,B00256
07-01-2014,01:05,244 E 71 St Nyc,B00256
07-01-2014,01:11,EWR,B00256
07-01-2014,01:14,JFK,B00256
07-01-2014,01:14,40 Wall Street New York,B00256
07-01-2014,01:20,15 W 17 ST NYC,B00256
07-01-2014,01:45,"83-80 118th Street Kew Gardens, QU",B00256
07-01-2014,01:47,110 E 55th St New York,B00256
07-01-2014,01:50,22 E 36 St Nyc,B00256
07-01-2014,01:56,EWR,B00256
07-01-2014,01:58,EWR,B00256
07-01-2014,02:00,300 North End Avenue New York,B00256
07-01-2014,02:07,EWR,B00256
07-01-2014,02:20,JFK,B00256
07-01-2014,02:25,13 E 17 St Nyc,B00256
07-01-2014,02:35,127 W 27 St Nyc,B00256
07-01-2014,02:45,108 W 24 St Nyc,B00256
07-01-2014,03:00,1675 York Ave NYC,B00256
07-01-2014,03:10,1 United Nations Pl Nyc,B00256
07-01-2014,03:30,"463 45th Street Sunset Park, BK",B00256
07-01-2014,03:30,255 West 43rd Street New York,B00256
07-01-2014,03:30,51 North Lyle Avenue Tenafly,B00256
07-01-2014,03:30,61 W 62 St NYC,B00256
07-01-2014,03:30,"180 Decatur Bedford Stuyvesant, ",B00256
07-01-2014,03:30,237 W 54 St Nyc,B00256
07-01-2014,03:30,237 W 54 St Nyc,B00256
07-01-2014,03:30,182 E 95 St Nyc,B00256
07-01-2014,03:30,27  Saint Marks Pl NYC,B00256
07-01-2014,03:45,2178 Broadway Nyc,B00256
07-01-2014,03:45,188 E 75 St Nyc,B00256
07-01-2014,03:45,140 Mayhill St  Saddle Brook NJ,B00256
07-01-2014,03:45,155 W 68 St NYC,B00256
07-01-2014,03:45,215 E 96 St NYC,B00256
07-01-2014,03:45,444 E 78 St Nyc,B00256
07-01-2014,03:45,275  Brooklyn Brooklyn,B00256
07-01-2014,04:00,1775 York Ave NYC,B00256
07-01-2014,04:00,"325 Franklin Ave Clinton Hill, BK",B00256
07-01-2014,04:00,"240 pemberwick road Greenwich, CT",B00256
07-01-2014,04:00,142 WEST END AVE NYC,B00256
07-01-2014,04:00,30 W 18 St Nyc,B00256
07-01-2014,04:00,"12 BELLEVUE AVENUE Dobbs Ferry ,NY.",B00256
07-01-2014,04:00,4 Washington Sq Villag NYC,B00256
07-01-2014,04:00,"265 LONG HILL ROAD EAST Briarcliff Manor ,NY",B00256
07-01-2014,04:00,800 WEST END AVE NYC,B00256
07-01-2014,04:00,"152 ADELPHI AVE Harrison ,NY.",B00256
07-01-2014,04:00,52 W 36 St Nyc,B00256
07-01-2014,04:00,140 E 7 ST NYC,B00256
07-01-2014,04:00,"376 President St Red Hook, BK",B00256
07-01-2014,04:00,"4 madrid court Mount Sinai, LI",B00256
07-01-2014,04:00,131 Dudley Street Jersey City,B00256
07-01-2014,04:00,281 Avenue C Nyc,B00256
07-01-2014,04:00,46  W 73 St NYC,B00256
07-01-2014,04:00,401 7 AVE NYC,B01868
07-01-2014,04:00,"5-32 47 Ave Long Island City, QU",B00256
07-01-2014,04:00,"23 Fillmore Pl Williamsburg, BK",B00256
07-01-2014,04:15,340 E 80 St NYC,B01743
07-01-2014,04:15,65 E 76 ST NYC,B00256
07-01-2014,04:15,111 W 67 St NYC,B00256
07-01-2014,04:15,509 E 13 St NYC,B00256
07-01-2014,04:15,"132 N 1st Williamsburg, BK",B00256
07-01-2014,04:15,440 WEST END AVE NYC,B00256
07-01-2014,04:15,309 5 Ave NYC,B00256
07-01-2014,04:15,140 RIVERSIDE BLVD NYC,B00256
07-01-2014,04:15,225 W 83 ST NYC,B00256
07-01-2014,04:15,54 Orchard St NYC,B00256
07-01-2014,04:15,444 W 35 St NYC,B00256
07-01-2014,04:15,230 Riverside Dr NYC,B00256
07-01-2014,04:15,305 E 63 ST NYC,B00256
07-01-2014,04:15,163 St Nicholas Ave Nyc,B00256
07-01-2014,04:15,11 Charlton St New York,B00256
07-01-2014,04:15,160 W 66th St New York,B00256
07-01-2014,04:20,160 Riverside Blvd Nyc,B00256
07-01-2014,04:30,"191 Knickerbocker Road Englewood, NJ",B00256
07-01-2014,04:30,484 W 43 St NYC,B00256
07-01-2014,04:30,41 River Ter NYC,B00256
