Date,Time,State,PuFrom,Address,Street
06-07-2014,14:30,NY                                                                                                                           ,MANHATTAN,50,MURRAY ST           
04-07-2014,07:15,NY                                                                                                                           ,MANHATTAN,143,AVENUE B            
05-07-2014,05:45,NY                                                                                                                           ,MANHATTAN,125,CHRISTOPHER ST      
06-07-2014,04:30,NY                                                                                                                           ,MANHATTAN,217,E 7 ST              
05-07-2014,07:45,NY                                                                                                                           ,MANHATTAN,521,W 26 ST             
06-07-2014,08:45,NY                                                                                                                           ,MANHATTAN,110,BLEECKER ST         
06-07-2014,06:45,NY                                                                                                                           ,MANHATTAN,220,E 57 St             
06-07-2014,11:30,NY                                                                                                                           ,MANHATTAN,440,E 20 ST             
03-07-2014,12:00,NY                                                                                                                           ,QUEENS,2204,119 ST              
03-07-2014,13:00,NY                                                                                                                           ,MANHATTAN,286,E 10 ST             
09-07-2014,15:42,EWR US AIR OUTSIDE DOOR #8                                                                                                   ,EWR,      ,                    
03-07-2014,05:30,NY                                                                                                                           ,MANHATTAN,85,WEST ST             
04-07-2014,09:45,NY                                                                                                                           ,MANHATTAN,99,BATTERY PL          
09-07-2014,04:15,NY                                                                                                                           ,MANHATTAN,613,6 AVE               
15-07-2014,05:45,NY                                                                                                                           ,MANHATTAN,27,BETHUNE ST          
11-07-2014,04:15,NY                                                                                                                           ,MANHATTAN,117,SULLIVAN ST         
04-07-2014,06:15,NY                                                                                                                           ,MANHATTAN,411,E 57 St             
12-07-2014,04:00,NY                                                                                                                           ,MANHATTAN,200,2 AVE               
10-07-2014,08:00,NY                                                                                                                           ,QUEENS,27110,GRAND CENTRAL PKWY  
16-07-2014,06:00,NY                                                                                                                           ,MANHATTAN,9,STUYVESANT OVAL     
07-07-2014,09:00,NY                                                                                                                           ,MANHATTAN,102,1 AVE               
07-07-2014,06:50,JFK JET BLUE DOMESTIC PICK UP AREA 3                                                                                         ,,      ,                    
10-07-2014,06:00,NY                                                                                                                           ,MANHATTAN,218,AVENUE A            
12-07-2014,06:35,EWR UNITED PICK-UP AREA 3                                                                                                    ,,      ,                    
09-07-2014,08:02,EWR UNITED TERM C  AREA 3                                                                                                    ,,      ,                    
13-07-2014,07:00,NY                                                                                                                           ,MANHATTAN,113,CEDAR ST            
09-08-2014,07:45,NY                                                                                                                           ,MANHATTAN,103,WAVERLY PL          
10-07-2014,04:00,NY                                                                                                                           ,MANHATTAN,225,E 26 ST             
15-07-2014,04:00,NY                                                                                                                           ,MANHATTAN,451,BROOME ST           
18-07-2014,06:00,NY                                                                                                                           ,MANHATTAN,85,8 AVE               
03-07-2014,04:00,NY                                                                                                                           ,MANHATTAN,231,W 26 ST             
16-07-2014,04:45,NY                                                                                                                           ,MANHATTAN,30,E 30 ST             
07-07-2014,05:15,NY                                                                                                                           ,MANHATTAN,10,RUTGERS ST          
09-07-2014,17:00,NY                                                                                                                           ,MANHATTAN,130,5 AVE               
09-07-2014,13:15,NY                                                                                                                           ,MANHATTAN,200,W 72 ST             
03-07-2014,09:30,NY                                                                                                                           ,QUEENS,4615,CENTER BLVD         
04-07-2014,05:00,NY                                                                                                                           ,MANHATTAN,82,IRVING PL           
07-07-2014,04:15,NY                                                                                                                           ,MANHATTAN,244,E 21 St             
14-07-2014,05:00,NY                                                                                                                           ,MANHATTAN,36,GRAMERCY PK E       
13-07-2014,05:30,NY                                                                                                                           ,MANHATTAN,505,GREENWICH ST        
13-07-2014,07:46,JFK United Domestic Pickup Area A                                                                                            ,JFK,      ,                    
18-07-2014,08:45,NY                                                                                                                           ,QUEENS,2710,PARSONS BLVD        
14-07-2014,03:45,NY                                                                                                                           ,MANHATTAN,360,W 15 ST             
14-07-2014,07:30,NY                                                                                                                           ,MANHATTAN,666,WEST END AVE        
01-07-2014,16:49,NY                                                                                                                           ,MANHATTAN,151,W 34 ST             
09-07-2014,06:30,NY                                                                                                                           ,MANHATTAN,50,MURRAY ST           
11-07-2014,05:15,NY                                                                                                                           ,MANHATTAN,70,LITTLE WEST ST      
21-07-2014,08:30,JFK DELTA TERM 2  CURBSIDE                                                                                                   ,,      ,                    
21-07-2014,07:15,NY                                                                                                                           ,MANHATTAN,39,E 29 ST             
21-07-2014,05:00,NY                                                                                                                           ,MANHATTAN,353,E 72 ST             
21-07-2014,06:00,NY                                                                                                                           ,MANHATTAN,115,ELIZABETH ST        
22-07-2014,06:15,NY                                                                                                                           ,MANHATTAN,615,E 14 ST             
21-07-2014,04:15,NY                                                                                                                           ,MANHATTAN,184,THOMPSON ST         
20-07-2014,06:45,NY                                                                                                                           ,MANHATTAN,1,ASTOR PL            
15-07-2014,09:30,NY                                                                                                                           ,QUEENS,2145,44 DR               
15-07-2014,07:00,NY                                                                                                                           ,MANHATTAN,77,BLEECKER ST         
24-07-2014,04:15,NY                                                                                                                           ,MANHATTAN,26,GRAND ST            
16-07-2014,07:30,NY                                                                                                                           ,MANHATTAN,50,BATTERY PL          
19-07-2014,04:15,NY                                                                                                                           ,MANHATTAN,60,E 8 ST              
18-07-2014,06:45,NY                                                                                                                           ,MANHATTAN,312,11 AVE              
25-07-2014,07:00,NY                                                                                                                           ,MANHATTAN,8,STONE ST            
14-07-2014,06:01,EWR UNITED PICK-UP AREA 3                                                                                                    ,,      ,                    
23-07-2014,06:00,NY                                                                                                                           ,MANHATTAN,131,PERRY ST            
28-07-2014,11:00,NY                                                                                                                           ,MANHATTAN,4,E 95 ST             
17-07-2014,05:15,NY                                                                                                                           ,MANHATTAN,141,2 AVE               
30-07-2014,06:30,NY                                                                                                                           ,MANHATTAN,131,MADISON AVE         
23-07-2014,04:15,NY                                                                                                                           ,MANHATTAN,560,W 43 ST             
25-07-2014,04:00,NY                                                                                                                           ,MANHATTAN,122,MACDOUGAL ST        
03-07-2014,07:15,NY                                                                                                                           ,MANHATTAN,95,PERRY ST            
17-07-2014,04:00,NY                                                                                                                           ,MANHATTAN,21,E 10 ST             
29-07-2014,06:45,NY                                                                                                                           ,MANHATTAN,120,E 34 ST             
29-07-2014,05:07,EWR UNITED PICK-UP AREA 3                                                                                                    ,,      ,                    
19-07-2014,06:45,NY                                                                                                                           ,MANHATTAN,313,E 9 ST              
26-07-2014,04:00,NY                                                                                                                           ,MANHATTAN,450,W 17 St             
26-07-2014,05:30,NY                                                                                                                           ,Manhattan                               ,57,ANN ST              
07-08-2014,04:00,NY                                                                                                                           ,MANHATTAN,111,E 48 ST             
12-07-2014,09:15,NY                                                                                                                           ,MANHATTAN,410,E 92 ST             
28-07-2014,05:00,NY                                                                                                                           ,QUEENS,2711,CORP KENNEDY ST     
22-07-2014,04:15,NY                                                                                                                           ,MANHATTAN,250,W 50 ST             
04-08-2014,09:30,NY                                                                                                                           ,MANHATTAN,1335,6 AVE               
16-07-2014,08:15,NY                                                                                                                           ,MANHATTAN,167,E 61 ST             
23-07-2014,09:00,NY                                                                                                                           ,MANHATTAN,345,W 58 ST             
28-07-2014,09:45,NY                                                                                                                           ,MANHATTAN,355,8 AVE               
18-07-2014,04:15,NY                                                                                                                           ,MANHATTAN,57,E 57 ST             
24-07-2014,06:00,NY                                                                                                                           ,MANHATTAN,111,BARROW ST           
23-07-2014,07:28,JFK DELTA TERM 2  CURBSIDE                                                                                                   ,,      ,                    
22-07-2014,08:00,JFK AMERICAN DOMESTIC Pickup Area C                                                                                          ,,      ,                    
02-08-2014,04:30,NY                                                                                                                           ,MANHATTAN,201,E 2 ST              
27-07-2014,11:00,NY                                                                                                                           ,QUEENS,475,48 AVE              
25-07-2014,05:30,NY                                                                                                                           ,MANHATTAN,260,W 26 ST             
01-08-2014,04:45,NY                                                                                                                           ,MANHATTAN,200,RECTOR PL           
31-07-2014,04:00,NY                                                                                                                           ,MANHATTAN,21,WEST ST             
30-07-2014,08:45,NY                                                                                                                           ,QUEENS,15846,76 AVE              
03-08-2014,05:45,NY                                                                                                                           ,MANHATTAN,142,WEST END AVE        
29-07-2014,04:15,NY                                                                                                                           ,MANHATTAN,303,BROOME ST           
28-07-2014,04:00,NY                                                                                                                           ,MANHATTAN,118,W 73 ST             
11-08-2014,05:45,NY                                                                                                                           ,MANHATTAN,116,W 14 ST             
09-08-2014,04:47,NY                                                                                                                           ,MANHATTAN,321,W 16 ST             
28-07-2014,08:05,EWR UNITED TERM A DOOR 2                                                                                                     ,,      ,                    
10-08-2014,04:15,NY                                                                                                                           ,Manhattan                               ,55,W 25 ST             
